state,action,next_state,reward
"0.13993321,-0.23964599,-0.2076159,-0.62954605,-0.2896837,0.61289555,-0.35818714,-0.38058478,-0.383332","0.73409724,-0.82206553,-0.966334","0.21003416,-0.3526758,-0.31142977,-0.6693181,-0.5119656,0.2406434,-0.35818714,-0.38058478,-0.383332",0.0
"0.21003416,-0.3526758,-0.31142977,-0.6693181,-0.5119656,0.2406434,-0.35818714,-0.38058478,-0.383332","0.6181747,-0.7795192,-0.9515662","0.26906535,-0.45985574,-0.4136571,-0.5569147,-0.6192458,-0.13096577,-0.35818714,-0.38058478,-0.383332",0.0
"0.26906535,-0.45985574,-0.4136571,-0.5569147,-0.6192458,-0.13096577,-0.35818714,-0.38058478,-0.383332","-0.14483446,-0.6928564,-0.9289483","0.25523472,-0.55511993,-0.51345456,-0.49144784,-0.49955982,-0.41504088,-0.35818714,-0.38058478,-0.383332",0.0
"0.25523472,-0.55511993,-0.51345456,-0.49144784,-0.49955982,-0.41504088,-0.35818714,-0.38058478,-0.383332","0.14232957,0.19407225,-0.84846157","0.26882616,-0.52843606,-0.6046052,-0.4024534,-0.44439796,-0.4277834,-0.35818714,-0.38058478,-0.383332",0.0
"0.26882616,-0.52843606,-0.6046052,-0.4024534,-0.44439796,-0.4277834,-0.35818714,-0.38058478,-0.383332","-0.019249141,0.33307314,-0.6408812","0.266988,-0.48264027,-0.6734555,-0.36028,-0.3922843,-0.3915017,-0.35818714,-0.38058478,-0.383332",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.050935674,-0.046783626,-0.61392003","0.2792107,0.9658991,0.96987176","0.0266626,0.13280617,0.10419393,0.41357118,0.040532634,0.8787923,0.050935674,-0.046783626,-0.61392003",0.0
"0.0266626,0.13280617,0.10419393,0.41357118,0.040532634,0.8787923,0.050935674,-0.046783626,-0.61392003","-0.68604696,0.96459126,0.95309556","-0.038849905,0.26543254,0.20658559,0.7233501,-0.08289359,0.56964624,0.050935674,-0.046783626,-0.61392003",0.0
"-0.038849905,0.26543254,0.20658559,0.7233501,-0.08289359,0.56964624,0.050935674,-0.046783626,-0.61392003","-0.7139152,0.9204445,0.9553969","-0.10702363,0.39198893,0.30922446,0.8208344,-0.28074503,0.16201983,0.050935674,-0.046783626,-0.61392003",0.0
"-0.10702363,0.39198893,0.30922446,0.8208344,-0.28074503,0.16201983,0.050935674,-0.046783626,-0.61392003","-0.32904792,0.94973695,0.95172143","-0.13844532,0.5225729,0.41146848,0.7510495,-0.34256363,-0.255291,0.050935674,-0.046783626,-0.61392003",0.0
"-0.13844532,0.5225729,0.41146848,0.7510495,-0.34256363,-0.255291,0.050935674,-0.046783626,-0.61392003","-0.6466992,0.9486301,0.96420336","-0.20020041,0.6530047,0.5150534,0.5099085,-0.36380213,-0.57503027,0.050935674,-0.046783626,-0.61392003",0.0
"-0.20020041,0.6530047,0.5150534,0.5099085,-0.36380213,-0.57503027,0.050935674,-0.046783626,-0.61392003","-0.9295977,0.94049215,0.9546218","-0.28897023,0.7823176,0.6176089,0.21787778,-0.2696118,-0.72857934,0.050935674,-0.046783626,-0.61392003",0.0
"-0.28897023,0.7823176,0.6176089,0.21787778,-0.2696118,-0.72857934,0.050935674,-0.046783626,-0.61392003","-0.46003383,0.7401854,0.9407655","-0.33290014,0.88408935,0.7186758,0.058184907,-0.08891164,-0.70336676,0.050935674,-0.046783626,-0.61392003",0.0
"-0.33290014,0.88408935,0.7186758,0.058184907,-0.08891164,-0.70336676,0.050935674,-0.046783626,-0.61392003","0.2521553,-0.20818233,0.60668266","-0.30882114,0.8554654,0.783852,0.04816078,-0.060060553,-0.6203425,0.050935674,-0.046783626,-0.61392003",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.015672516,-0.034619883,-0.30644754","0.9040128,-0.9570416,-0.9486215","0.08632665,-0.1315883,-0.10191101,-0.39701438,-0.10438287,0.8819608,-0.015672516,-0.034619883,-0.30644754",0.0
"0.08632665,-0.1315883,-0.10191101,-0.39701438,-0.10438287,0.8819608,-0.015672516,-0.034619883,-0.30644754","0.71466494,-0.59179133,-0.9330006","0.15457197,-0.21295658,-0.20214386,-0.57743514,-0.29819742,0.6640977,-0.015672516,-0.034619883,-0.30644754",0.0
"0.15457197,-0.21295658,-0.20214386,-0.57743514,-0.29819742,0.6640977,-0.015672516,-0.034619883,-0.30644754","0.6348729,-0.39695656,-0.92644167","0.21519774,-0.26753607,-0.3016721,-0.6020143,-0.475498,0.42357087,-0.015672516,-0.034619883,-0.30644754",0.0
"0.21519774,-0.26753607,-0.3016721,-0.6020143,-0.475498,0.42357087,-0.015672516,-0.034619883,-0.30644754","0.79398346,-0.6590865,-0.9473483","0.2910174,-0.3581571,-0.40344632,-0.5050143,-0.6458926,0.08922387,-0.015672516,-0.034619883,-0.30644754",0.0
"0.2910174,-0.3581571,-0.40344632,-0.5050143,-0.6458926,0.08922387,-0.015672516,-0.034619883,-0.30644754","0.7347292,-0.8760621,-0.9384167","0.36117873,-0.47861117,-0.504261,-0.3200254,-0.6729768,-0.27175707,-0.015672516,-0.034619883,-0.30644754",0.0
"0.36117873,-0.47861117,-0.504261,-0.3200254,-0.6729768,-0.27175707,-0.015672516,-0.034619883,-0.30644754","0.52717566,-0.86828613,-0.9105609","0.41152018,-0.5979961,-0.6020831,-0.15764193,-0.5313487,-0.52496016,-0.015672516,-0.034619883,-0.30644754",0.0
"0.41152018,-0.5979961,-0.6020831,-0.15764193,-0.5313487,-0.52496016,-0.015672516,-0.034619883,-0.30644754","-0.03027159,-0.76999766,-0.9506204","0.40862945,-0.7038669,-0.70420885,-0.09541365,-0.30276936,-0.62163043,-0.015672516,-0.034619883,-0.30644754",0.0
"0.40862945,-0.7038669,-0.70420885,-0.09541365,-0.30276936,-0.62163043,-0.015672516,-0.034619883,-0.30644754","0.27279365,-0.33627963,-0.9649232","0.43467927,-0.75010365,-0.807871,-0.03661721,-0.14751549,-0.5629222,-0.015672516,-0.034619883,-0.30644754",0.0
"0.43467927,-0.75010365,-0.807871,-0.03661721,-0.14751549,-0.5629222,-0.015672516,-0.034619883,-0.30644754","0.006100416,0.21701837,-0.8905003","0.43526182,-0.7202648,-0.90353805,-0.02315142,-0.083596595,-0.44212335,-0.015672516,-0.034619883,-0.30644754",0.0
"0.43526182,-0.7202648,-0.90353805,-0.02315142,-0.083596595,-0.44212335,-0.015672516,-0.034619883,-0.30644754","-0.16459924,0.31406236,-0.7266396","0.41954377,-0.6770829,-0.98160136,-0.018549254,-0.048666872,-0.33141387,-0.015672516,-0.034619883,-0.30644754",0.0
"0.41954377,-0.6770829,-0.98160136,-0.018549254,-0.048666872,-0.33141387,-0.015672516,-0.034619883,-0.30644754","-0.27204478,0.055663347,-0.1987006","0.39356548,-0.66942954,-1.0,-0.019569358,-0.038686678,-0.30501246,-0.015672516,-0.034619883,-0.30644754",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.450117,-0.23701754,-0.6336642","-0.60422325,0.9577105,0.9402082","-0.05769893,0.13168028,0.10100716,0.4039172,-0.06814366,0.88263077,0.450117,-0.23701754,-0.6336642",0.0
"-0.05769893,0.13168028,0.10100716,0.4039172,-0.06814366,0.88263077,0.450117,-0.23701754,-0.6336642","-0.0059047937,0.950125,0.80878055","-0.05826279,0.2623176,0.18789496,0.70171994,-0.12400765,0.6014598,0.450117,-0.23701754,-0.6336642",0.0
"-0.05826279,0.2623176,0.18789496,0.70171994,-0.12400765,0.6014598,0.450117,-0.23701754,-0.6336642","-0.31154466,0.94029915,0.91045713","-0.088013045,0.39160392,0.28570592,0.8395282,-0.23221515,0.19929947,0.450117,-0.23701754,-0.6336642",0.0
"-0.088013045,0.39160392,0.28570592,0.8395282,-0.23221515,0.19929947,0.450117,-0.23701754,-0.6336642","-0.3135625,0.9294671,0.93987966","-0.11795599,0.5194009,0.3866778,0.7925092,-0.30169377,-0.2187416,0.450117,-0.23701754,-0.6336642",0.0
"-0.11795599,0.5194009,0.3866778,0.7925092,-0.30169377,-0.2187416,0.450117,-0.23701754,-0.6336642","-0.5183521,0.9122405,0.9392706","-0.16745487,0.64482933,0.48758417,0.5821122,-0.33131307,-0.54838556,0.450117,-0.23701754,-0.6336642",0.0
"-0.16745487,0.64482933,0.48758417,0.5821122,-0.33131307,-0.54838556,0.450117,-0.23701754,-0.6336642","0.008123875,0.5026493,0.61286664","-0.16667908,0.71394104,0.5534248,0.44742298,-0.251658,-0.669324,0.450117,-0.23701754,-0.6336642",0.0
"-0.16667908,0.71394104,0.5534248,0.44742298,-0.251658,-0.669324,0.450117,-0.23701754,-0.6336642","0.061648607,-0.23159635,0.22619438","-0.16079208,0.6820978,0.57772493,0.45127407,-0.24293898,-0.6309569,0.450117,-0.23701754,-0.6336642",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.018654972,0.016666666,-0.46819258","0.7812146,0.9498379,0.9529724","0.07460033,0.13059783,0.10237842,0.39655417,0.100629754,0.8825563,-0.018654972,0.016666666,-0.46819258",0.0
"0.07460033,0.13059783,0.10237842,0.39655417,0.100629754,0.8825563,-0.018654972,0.016666666,-0.46819258","0.84691596,0.85529876,0.95429134","0.15547465,0.24819703,0.20489855,0.61842144,0.3351754,0.60212797,-0.018654972,0.016666666,-0.46819258",0.0
"0.15547465,0.24819703,0.20489855,0.61842144,0.3351754,0.60212797,-0.018654972,0.016666666,-0.46819258","0.35066783,0.85120773,0.95661116","0.18896088,0.36523375,0.30766788,0.7026606,0.48116738,0.22054705,-0.018654972,0.016666666,-0.46819258",0.0
"0.18896088,0.36523375,0.30766788,0.7026606,0.48116738,0.22054705,-0.018654972,0.016666666,-0.46819258","0.65474796,0.89429474,0.9653115","0.25148454,0.48819467,0.4113719,0.581751,0.59543115,-0.18562661,-0.018654972,0.016666666,-0.46819258",0.0
"0.25148454,0.48819467,0.4113719,0.581751,0.59543115,-0.18562661,-0.018654972,0.016666666,-0.46819258","0.4097774,0.8958349,0.9645692","0.29061532,0.6113674,0.5149961,0.39950284,0.5265684,-0.5095847,-0.018654972,0.016666666,-0.46819258",0.0
"0.29061532,0.6113674,0.5149961,0.39950284,0.5265684,-0.5095847,-0.018654972,0.016666666,-0.46819258","0.61806846,0.884146,0.93421423","0.34963638,0.732933,0.6153593,0.17976516,0.36454144,-0.6839925,-0.018654972,0.016666666,-0.46819258",0.0
"0.34963638,0.732933,0.6153593,0.17976516,0.36454144,-0.6839925,-0.018654972,0.016666666,-0.46819258","0.7035736,0.6295955,0.945135","0.41682255,0.81949914,0.7168957,0.041057725,0.17594258,-0.6825853,-0.018654972,0.016666666,-0.46819258",0.0
"0.41682255,0.81949914,0.7168957,0.041057725,0.17594258,-0.6825853,-0.018654972,0.016666666,-0.46819258","0.7446598,0.06330407,0.9639783","0.48793218,0.8282032,0.8204563,-0.003063801,0.07197743,-0.5694203,-0.018654972,0.016666666,-0.46819258",0.0
"0.48793218,0.8282032,0.8204563,-0.003063801,0.07197743,-0.5694203,-0.018654972,0.016666666,-0.46819258","0.69065356,-0.0053619742,0.67533183","0.55388457,0.827466,0.8930076,-0.009530102,0.021393305,-0.47087207,-0.018654972,0.016666666,-0.46819258",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.09719299,-0.20719297,-0.54978424","0.7784511,-0.90596926,-0.94889164","0.074336424,-0.124566115,-0.10194003,-0.38731876,-0.08618284,0.8888502,-0.09719299,-0.20719297,-0.54978424",0.0
"0.074336424,-0.124566115,-0.10194003,-0.38731876,-0.08618284,0.8888502,-0.09719299,-0.20719297,-0.54978424","0.7627548,-0.86398315,-0.95079446","0.14717397,-0.24335939,-0.20408449,-0.62553567,-0.30529454,0.61152166,-0.09719299,-0.20719297,-0.54978424",0.0
"0.14717397,-0.24335939,-0.20408449,-0.62553567,-0.30529454,0.61152166,-0.09719299,-0.20719297,-0.54978424","0.6535361,-0.76957846,-0.9488429","0.20958193,-0.34917247,-0.30601928,-0.66840374,-0.50974447,0.25626686,-0.09719299,-0.20719297,-0.54978424",0.0
"0.20958193,-0.34917247,-0.30601928,-0.66840374,-0.50974447,0.25626686,-0.09719299,-0.20719297,-0.54978424","0.6639323,-0.79327214,-0.96152073","0.27298266,-0.45824334,-0.40931603,-0.5514422,-0.62858427,-0.12201549,-0.09719299,-0.20719297,-0.54978424",0.0
"0.27298266,-0.45824334,-0.40931603,-0.5514422,-0.62858427,-0.12201549,-0.09719299,-0.20719297,-0.54978424","0.5903858,-0.7055677,-0.9704564","0.32936022,-0.55525535,-0.51357275,-0.3627829,-0.59929633,-0.4153602,-0.09719299,-0.20719297,-0.54978424",0.0
"0.32936022,-0.55525535,-0.51357275,-0.3627829,-0.59929633,-0.4153602,-0.09719299,-0.20719297,-0.54978424","0.020492196,-0.69756025,-0.9546269","0.33131707,-0.6511663,-0.61612886,-0.25203985,-0.41877782,-0.594379,-0.09719299,-0.20719297,-0.54978424",0.0
"0.33131707,-0.6511663,-0.61612886,-0.25203985,-0.41877782,-0.594379,-0.09719299,-0.20719297,-0.54978424","0.1414218,-0.39484823,-0.92206126","0.3448218,-0.70545596,-0.7151864,-0.1463887,-0.26374808,-0.61651045,-0.09719299,-0.20719297,-0.54978424",0.0
"0.3448218,-0.70545596,-0.7151864,-0.1463887,-0.26374808,-0.61651045,-0.09719299,-0.20719297,-0.54978424","0.10875726,0.3168521,-0.6228428","0.35520738,-0.6618905,-0.7820988,-0.11784428,-0.22777128,-0.5423006,-0.09719299,-0.20719297,-0.54978424",0.0
"0.35520738,-0.6618905,-0.7820988,-0.11784428,-0.22777128,-0.5423006,-0.09719299,-0.20719297,-0.54978424","0.077815056,-0.07637894,-0.083262324","0.36263815,-0.6723923,-0.79104376,-0.10430205,-0.21266693,-0.5417945,-0.09719299,-0.20719297,-0.54978424",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.0061988304,0.00023391812,-0.7596475","0.8428558,0.98253834,0.9562242","0.08048662,0.13509397,0.10272777,0.4035015,0.110238805,0.8777223,0.0061988304,0.00023391812,-0.7596475",0.0
"0.08048662,0.13509397,0.10272777,0.4035015,0.110238805,0.8777223,0.0061988304,0.00023391812,-0.7596475","0.83064055,0.97713673,0.9420576","0.15980676,0.26944527,0.20393361,0.63883436,0.3573025,0.56629056,0.0061988304,0.00023391812,-0.7596475",0.0
"0.15980676,0.26944527,0.20393361,0.63883436,0.3573025,0.56629056,0.0061988304,0.00023391812,-0.7596475","-0.23561615,0.96425986,0.9059534","0.13730712,0.40202606,0.30126074,0.79200155,0.37090996,0.15298933,0.0061988304,0.00023391812,-0.7596475",0.0
"0.13730712,0.40202606,0.30126074,0.79200155,0.37090996,0.15298933,0.0061988304,0.00023391812,-0.7596475","-0.5530764,0.97169137,0.92906237","0.08449235,0.5356287,0.40107048,0.80070347,0.2236757,-0.26945138,0.0061988304,0.00023391812,-0.7596475",0.0
"0.08449235,0.5356287,0.40107048,0.80070347,0.2236757,-0.26945138,0.0061988304,0.00023391812,-0.7596475","-0.058386087,0.96826994,0.9576911","0.0789169,0.66876084,0.5039558,0.60632205,0.15945223,-0.5943817,0.0061988304,0.00023391812,-0.7596475",0.0
"0.0789169,0.66876084,0.5039558,0.60632205,0.15945223,-0.5943817,0.0061988304,0.00023391812,-0.7596475","-0.7251569,0.9626566,0.9445058","0.0096696755,0.80112123,0.6054246,0.33974698,0.016116338,-0.7498333,0.0061988304,0.00023391812,-0.7596475",0.0
"0.0096696755,0.80112123,0.6054246,0.33974698,0.016116338,-0.7498333,0.0061988304,0.00023391812,-0.7596475","-0.8235981,0.9282656,0.7293644","-0.068977974,0.92875296,0.68378067,0.08625484,-0.013061421,-0.7527847,0.0061988304,0.00023391812,-0.7596475",0.0
"-0.068977974,0.92875296,0.68378067,0.08625484,-0.013061421,-0.7527847,0.0061988304,0.00023391812,-0.7596475","-0.73505354,0.55539846,0.11223018","-0.13916741,0.999981,0.69584584,-0.00793832,0.0101010045,-0.7446976,0.0061988304,0.00023391812,-0.7596475",0.0
"-0.13916741,0.999981,0.69584584,-0.00793832,0.0101010045,-0.7446976,0.0061988304,0.00023391812,-0.7596475","-0.35477352,0.113892674,-0.084929466","-0.17304288,0.9999811,0.68673044,-0.0006700948,0.00716985,-0.75643855,0.0061988304,0.00023391812,-0.7596475",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.062397663,-0.6830409,-0.15444382","0.9592924,-0.8664582,-0.94153464","0.091605455,-0.119133554,-0.101149656,-0.37090808,-0.1037531,0.8946747,-0.062397663,-0.6830409,-0.15444382",0.0
"0.091605455,-0.119133554,-0.101149656,-0.37090808,-0.1037531,0.8946747,-0.062397663,-0.6830409,-0.15444382","0.9559891,-0.7747246,-0.9065421","0.18289548,-0.2256542,-0.19854005,-0.562614,-0.35737044,0.6485568,-0.062397663,-0.6830409,-0.15444382",0.0
"0.18289548,-0.2256542,-0.19854005,-0.562614,-0.35737044,0.6485568,-0.062397663,-0.6830409,-0.15444382","0.96891665,-0.6566493,-0.8898348","0.27541998,-0.31594014,-0.29413554,-0.531848,-0.6154545,0.3418956,-0.062397663,-0.6830409,-0.15444382",0.0
"0.27541998,-0.31594014,-0.29413554,-0.531848,-0.6154545,0.3418956,-0.062397663,-0.6830409,-0.15444382","0.95136666,-0.62739235,-0.8298577","0.3662686,-0.40220338,-0.3832877,-0.34992647,-0.7691211,0.029229883,-0.062397663,-0.6830409,-0.15444382",0.0
"0.3662686,-0.40220338,-0.3832877,-0.34992647,-0.7691211,0.029229883,-0.062397663,-0.6830409,-0.15444382","0.8178854,-0.54146755,-0.70306516","0.44437072,-0.47665244,-0.4588184,-0.14338234,-0.7787797,-0.21952075,-0.062397663,-0.6830409,-0.15444382",0.0
"0.44437072,-0.47665244,-0.4588184,-0.14338234,-0.7787797,-0.21952075,-0.062397663,-0.6830409,-0.15444382","0.1987822,0.28844,-0.7951475","0.46335298,-0.43699348,-0.54424155,-0.08763031,-0.707399,-0.23690301,-0.062397663,-0.6830409,-0.15444382",0.0
"0.46335298,-0.43699348,-0.54424155,-0.08763031,-0.707399,-0.23690301,-0.062397663,-0.6830409,-0.15444382","0.024972558,0.4482062,-0.53124005","0.46573767,-0.3753675,-0.601313,-0.07675778,-0.6564821,-0.1878908,-0.062397663,-0.6830409,-0.15444382",0.0
"0.46573767,-0.3753675,-0.601313,-0.07675778,-0.6564821,-0.1878908,-0.062397663,-0.6830409,-0.15444382","0.05892551,0.1361816,0.042503476","0.47136465,-0.3566433,-0.5967468,-0.06576248,-0.6646261,-0.15311345,-0.062397663,-0.6830409,-0.15444382",0.0
"0.47136465,-0.3566433,-0.5967468,-0.06576248,-0.6646261,-0.15311345,-0.062397663,-0.6830409,-0.15444382","0.009343147,-0.06078601,0.12801278","0.47225684,-0.3650011,-0.5829943,-0.065120324,-0.67878073,-0.1529269,-0.062397663,-0.6830409,-0.15444382",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.023099417,-0.11491228,-0.44393736","0.94414926,-0.9430958,-0.90878934","0.090159394,-0.12967083,-0.09763181,-0.3872764,-0.10669526,0.88742894,0.023099417,-0.11491228,-0.44393736",0.0
